5/13/21
Time         Wind Dir   Wind Spd  Wind Gust   Humidity       Temp  Raw Barom   Tot Rain
                    °        mph        mph          %         °F         in         in
12:00am           274          0          1         76       45.5      30.11       0.00
12:05am           274          0          0         76       45.3      30.11       0.00
12:10am           276          0          1         76       45.2      30.11       0.00
12:15am           275          1          2         76       45.1      30.11       0.00
12:20am           273          0          2         77       45.0      30.11       0.00
12:25am           274          0          2         77       44.8      30.11       0.00
12:30am           268          0          2         78       44.6      30.11       0.00
12:35am           269          0          1         78       44.4      30.11       0.00
12:40am           269          0          1         78       44.2      30.11       0.00
12:45am           269          0          1         78       44.1      30.11       0.00
12:50am           269          0          1         79       44.1      30.11       0.00
12:55am           269          0          1         79       44.0      30.11       0.00
1:00am            268          0          1         79       43.9      30.11       0.00
1:05am            268          0          0         79       43.9      30.11       0.00
1:10am            269          0          0         80       43.7      30.11       0.00
1:15am            268          0          0         80       43.6      30.11       0.00
1:20am            268          0          0         80       43.5      30.11       0.00
1:25am            268          1          1         81       43.4      30.11       0.00
1:30am            269          0          1         81       43.2      30.11       0.00
1:35am            268          0          0         82       43.1      30.11       0.00
1:40am            268          0          0         82       42.9      30.11       0.00
1:45am            268          0          0         83       42.8      30.10       0.00
1:50am            268          0          1         83       42.7      30.10       0.00
1:55am            268          0          1         83       42.5      30.10       0.00
2:00am            268          0          1         83       42.4      30.10       0.00
2:05am            268          0          1         84       42.3      30.10       0.00
2:10am            269          0          1         84       42.1      30.10       0.00
2:15am            268          0          1         84       42.0      30.10       0.00
2:20am            269          0          1         85       41.8      30.10       0.00
2:25am            258          0          1         85       41.8      30.10       0.00
2:30am            258          0          1         84       41.8      30.10       0.00
2:35am            258          0          0         84       41.7      30.10       0.00
2:40am            258          0          0         84       41.7      30.10       0.00
2:45am            258          0          1         84       41.7      30.10       0.00
2:50am            258          0          1         84       41.6      30.10       0.00
2:55am            258          0          1         84       41.5      30.10       0.00
3:00am            258          0          1         85       41.3      30.10       0.00
3:05am            258          0          0         85       41.0      30.10       0.00
3:10am            257          0          0         86       40.7      30.10       0.00
3:15am            258          0          0         86       40.4      30.10       0.00
3:20am            258          0          0         86       40.1      30.10       0.00
3:25am            258          0          0         87       40.0      30.10       0.00
3:30am            258          0          0         87       39.8      30.10       0.00
3:35am            258          0          0         87       39.7      30.10       0.00
3:40am            258          0          1         88       39.6      30.10       0.00
